id,mode,time,sex,age
01,drea,24.59,male,52
01,normal,13.25,male,52
02,drea,20.37,male,40
02,normal,16.13,male,40
03,drea,28.68,female,35
03,normal,21.89,female,35
04,drea,28.79,female,44
04,normal,15.43,female,44
05,drea,13.48,male,21
05,normal,12.59,male,21
06,drea,15.05,female,21
06,normal,13.62,female,21
07,drea,26.13,male,51
07,normal,13.65,male,51
08,drea,24.31,female,51
08,normal,18.59,female,51
09,drea,13.94,male,14
09,normal,16.13,male,14
10,drea,21.83,male,23
10,normal,12.13,male,23
11,drea,18.21,female,23
11,normal,15.48,female,23
12,drea,24.67,male,52
12,normal,18.21,male,52
