subject,mode,subscale,value
1,drea,mental-demand,17
1,drea,physical-demand,17
1,drea,temporal-demand,13
1,drea,performance,11
1,drea,effort,11
1,drea,frustration,4
1,normal,mental-demand,4
1,normal,physical-demand,8
1,normal,temporal-demand,6
1,normal,performance,6
1,normal,effort,4
1,normal,frustration,4
2,drea,mental-demand,5
2,drea,physical-demand,1
2,drea,temporal-demand,5
2,drea,performance,5
2,drea,effort,7
2,drea,frustration,3
2,normal,mental-demand,5
2,normal,physical-demand,1
2,normal,temporal-demand,11
2,normal,performance,9
2,normal,effort,9
2,normal,frustration,11
3,drea,mental-demand,8
3,drea,physical-demand,8
3,drea,temporal-demand,8
3,drea,performance,12
3,drea,effort,12
3,drea,frustration,15
3,normal,mental-demand,4
3,normal,physical-demand,2
3,normal,temporal-demand,2
3,normal,performance,3
3,normal,effort,4
3,normal,frustration,2
4,drea,mental-demand,6
4,drea,physical-demand,14
4,drea,temporal-demand,12
4,drea,performance,9
4,drea,effort,11
4,drea,frustration,12
4,normal,mental-demand,10
4,normal,physical-demand,14
4,normal,temporal-demand,6
4,normal,performance,8
4,normal,effort,10
4,normal,frustration,12
5,drea,mental-demand,4
5,drea,physical-demand,2
5,drea,temporal-demand,2
5,drea,performance,5
5,drea,effort,8
5,drea,frustration,1
5,normal,mental-demand,5
5,normal,physical-demand,6
5,normal,temporal-demand,3
5,normal,performance,5
5,normal,effort,4
5,normal,frustration,11
6,drea,mental-demand,14
6,drea,physical-demand,11
6,drea,temporal-demand,6
6,drea,performance,8
6,drea,effort,15
6,drea,frustration,2
6,normal,mental-demand,3
6,normal,physical-demand,3
6,normal,temporal-demand,11
6,normal,performance,12
6,normal,effort,8
6,normal,frustration,14
7,drea,mental-demand,13
7,drea,physical-demand,1
7,drea,temporal-demand,10
7,drea,performance,11
7,drea,effort,13
7,drea,frustration,7
7,normal,mental-demand,7
7,normal,physical-demand,5
7,normal,temporal-demand,5
7,normal,performance,7
7,normal,effort,5
7,normal,frustration,5
8,drea,mental-demand,3
8,drea,physical-demand,7
8,drea,temporal-demand,9
8,drea,performance,10
8,drea,effort,9
8,drea,frustration,10
8,normal,mental-demand,5
8,normal,physical-demand,7
8,normal,temporal-demand,11
8,normal,performance,1
8,normal,effort,1
8,normal,frustration,3
9,drea,mental-demand,15
9,drea,physical-demand,7
9,drea,temporal-demand,7
9,drea,performance,2
9,drea,effort,14
9,drea,frustration,4
9,normal,mental-demand,11
9,normal,physical-demand,3
9,normal,temporal-demand,10
9,normal,performance,1
9,normal,effort,4
9,normal,frustration,4
10,drea,mental-demand,15
10,drea,physical-demand,10
10,drea,temporal-demand,5
10,drea,performance,7
10,drea,effort,5
10,drea,frustration,1
10,normal,mental-demand,5
10,normal,physical-demand,13
10,normal,temporal-demand,13
10,normal,performance,5
10,normal,effort,15
10,normal,frustration,1
11,drea,mental-demand,11
11,drea,physical-demand,17
11,drea,temporal-demand,5
11,drea,performance,15
11,drea,effort,13
11,drea,frustration,13
11,normal,mental-demand,11
11,normal,physical-demand,19
11,normal,temporal-demand,17
11,normal,performance,13
11,normal,effort,9
11,normal,frustration,9
12,drea,mental-demand,9
12,drea,physical-demand,17
12,drea,temporal-demand,15
12,drea,performance,13
12,drea,effort,17
12,drea,frustration,15
12,normal,mental-demand,9
12,normal,physical-demand,11
12,normal,temporal-demand,7
12,normal,performance,15
12,normal,effort,7
12,normal,frustration,4
